Jean-Christophe_Mitterrand,knownFor,Mitterrand–Pasqua_affair,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}, '', set()]"
Battle_of_Uedahara,isPartOfMilitaryConflict,Sengoku_period,"Invalid (Domain matches, range does not match)","['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/HistoricalPeriod', 'http://dbpedia.org/ontology/TimePeriod'}]"
Battle_of_Uedahara,result,Murakami victory,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Takeda_Shingen__MilitaryService__1,battle,Battle_of_Uedahara,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/MilitaryService', 'http://dbpedia.org/ontology/TimePeriod', 'http://dbpedia.org/ontology/CareerStation'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
Itagaki_Nobukata,battle,Battle_of_Uedahara,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/MilitaryPerson'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
1916_Louisiana_gubernatorial_election,affiliation,Bull_Moose_Party,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Organisation', {'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent'}]"
1916_Louisiana_gubernatorial_election,country,Louisiana,"Invalid (No expected domain, range does not match)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Country', {'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/AdministrativeRegion'}]"
1916_Louisiana_gubernatorial_election,startDate,1916-04-18,Valid,"['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
2024_Castle_Point_Borough_Council_election,affiliation,Canvey_Island_Independent_Party,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Organisation', {'http://dbpedia.org/ontology/PoliticalParty', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent'}]"
2024_Castle_Point_Borough_Council_election,country,Essex,"Invalid (No expected domain, range does not match)","['', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://dbpedia.org/ontology/Country', {'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/AdministrativeRegion'}]"
2024_Castle_Point_Borough_Council_election,startDate,2024-05-02,Valid,"['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Nipah_virus_outbreaks_in_Kerala,fatalityRate,89,Valid,"['http://dbpedia.org/ontology/Outbreak', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/Outbreak'}, 'http://www.w3.org/2001/XMLSchema#integer', set()]"
2024_Borden-Kinkora_provincial_by-election,startDate,2024-02-07,Valid,"['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Battle_of_Placito,place,"Placitas,_Lincoln_County,_New_Mexico","Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', set()]"
Battle_of_Placito,place,Confederate_Arizona,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/AdministrativeRegion'}]"
Battle_of_Placito,place,New_Mexico_Territory_in_the_American_Civil_War,"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', set()]"
Battle_of_Placito,place,"Lincoln_County,_New_Mexico","Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/AdministrativeRegion'}]"
Battle_of_Placito,causalties,Unknown,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Battle_of_Placito,combatant,Apache,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Battle_of_Placito,commander,John_Pulliam,"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/Person', set()]"
Battle_of_Placito,date,1861-09-08,Valid,"['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Battle_of_Placito,isPartOfMilitaryConflict,American_Civil_War,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
Battle_of_Placito,isPartOfMilitaryConflict,Apache_Wars,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
Battle_of_Placito,result,Confederate victory,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Christian_Führer,knownFor,Monday_demonstrations_in_East_Germany,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}, '', set()]"
2003_Central_African_Republic_coup_d'état,place,Central_African_Republic,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
2003_Central_African_Republic_coup_d'état,causalties,Unknown,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,*,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Support:,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Alleged support:,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Libya,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Government of the Central African Republic,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,CEMAC:,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Supporters ofFrançois Bozizé,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,commander,General_officer,"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/Person', set()]"
2003_Central_African_Republic_coup_d'état,commander,President_(government_title),"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/Person', set()]"
2003_Central_African_Republic_coup_d'état,commander,Abakar_Sabone,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}]"
2003_Central_African_Republic_coup_d'état,date,2003-03-15,Valid,"['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
2003_Central_African_Republic_coup_d'état,result,"President Patassé overthrown, General Bozizé suspends constitution and declares curfew",Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2011_East_Hampshire_District_Council_election,startDate,2011-05-05,Valid,"['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Election', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Battle_of_Lonoy,place,Jagna,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Battle_of_Lonoy,place,Philippines,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Battle_of_Lonoy,place,Bohol,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
Battle_of_Lonoy,causalties,Over 406 killed,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Battle_of_Lonoy,date,1901-03-05,Valid,"['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Battle_of_Lonoy,isPartOfMilitaryConflict,Philippine–American_War,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
Battle_of_Lonoy,result,American victory,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
