Expected,Actual,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,2,0,0,0,0,0,1,0,1,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Band', 'http://dbpedia.org/ontology/Group', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",69,58,0,7,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/AustralianRulesFootballPlayer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,8,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,{'http://dbpedia.org/ontology/PersonFunction'},0,49,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,3,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",21,23,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/DartsPlayer', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",16,2,0,17,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Animal'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/VolleyballPlayer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,1,0
http://dbpedia.org/ontology/Agent,{'http://dbpedia.org/ontology/PersonFunction'},0,20,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Animal,{'http://dbpedia.org/ontology/PersonFunction'},0,74,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Architect,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",0,0,0,4,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/ArchitecturalStructure,"{'http://dbpedia.org/ontology/HistoricPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,2,0,7,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Athlete,"{'http://dbpedia.org/ontology/Mammal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Horse'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Athlete,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/SportsManager', 'http://dbpedia.org/ontology/SoccerManager', 'http://dbpedia.org/ontology/Animal'}",30,26,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Automobile,"{'http://dbpedia.org/ontology/Device', 'http://dbpedia.org/ontology/AutomobileEngine', 'http://dbpedia.org/ontology/Engine'}",0,0,0,0,0,0,0,0,0,0,0,7
http://dbpedia.org/ontology/AutomobileEngine,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",0,0,0,0,0,0,0,0,0,0,0,8
http://dbpedia.org/ontology/Award,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Award,"{'http://dbpedia.org/ontology/BasketballLeague', 'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",3,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Award,"{'http://dbpedia.org/ontology/PeriodicalLiterature', 'http://dbpedia.org/ontology/Work', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Newspaper'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Award,"{'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/FilmFestival'}",2,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Award,"{'http://dbpedia.org/ontology/SportsLeague', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Band,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",1,3,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Band,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,2,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/BroadcastNetwork,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/Broadcaster,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/Broadcaster,"{'http://dbpedia.org/ontology/Anime', 'http://dbpedia.org/ontology/work', 'http://dbpedia.org/ontology/Cartoon'}",2,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Broadcaster,"{'http://dbpedia.org/ontology/Website', 'http://dbpedia.org/ontology/Work'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Broadcaster,"{'http://dbpedia.org/ontology/Work', 'http://dbpedia.org/ontology/TelevisionSeason'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Broadcaster,"{'http://dbpedia.org/ontology/Work', 'http://dbpedia.org/ontology/TelevisionShow'}",4,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/City,"{'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/City,"{'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/City,"{'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,0,0,3,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/City,"{'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/City,"{'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,9,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Company,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",0,1,0,0,0,0,0,0,0,0,0,2
http://dbpedia.org/ontology/Company,{'http://dbpedia.org/ontology/PersonFunction'},0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,2,2,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/MilitaryUnit'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/EthnicGroup', 'http://dbpedia.org/ontology/Population'}",0,6,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,{'http://dbpedia.org/ontology/EthnicGroup'},0,12,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/Island', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/Non-ProfitOrganisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,4,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Country,"{'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/EducationalInstitution,"{'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Film,"{'http://dbpedia.org/ontology/Anime', 'http://dbpedia.org/ontology/work', 'http://dbpedia.org/ontology/Cartoon'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Film,"{'http://dbpedia.org/ontology/Work', 'http://dbpedia.org/ontology/TelevisionShow'}",2,4,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Genre,"{'http://dbpedia.org/ontology/AcademicSubject', 'http://dbpedia.org/ontology/TopicalConcept'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Genre,{'http://dbpedia.org/ontology/EthnicGroup'},0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/GrandPrix,"{'http://dbpedia.org/ontology/MotorsportSeason', 'http://dbpedia.org/ontology/SportsSeason'}",0,15,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/HistoricPlace,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Building'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Infrastructure,"{'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/Lake', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Language,"{'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Country'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Man,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/MeanOfTransportation,"{'http://dbpedia.org/ontology/Device', 'http://dbpedia.org/ontology/AutomobileEngine', 'http://dbpedia.org/ontology/Engine'}",0,0,0,0,0,0,0,0,0,0,0,10
http://dbpedia.org/ontology/MilitaryConflict,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/MilitaryUnit'}",0,0,0,0,0,0,0,0,0,0,1,0
http://dbpedia.org/ontology/MilitaryConflict,"{'http://dbpedia.org/ontology/TimePeriod', 'http://dbpedia.org/ontology/HistoricalPeriod'}",0,0,0,0,1,0,0,0,0,0,0,0
http://dbpedia.org/ontology/MilitaryPerson,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/MilitaryUnit'}",0,0,0,0,0,0,0,0,0,0,0,3
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,3,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/NaturalPlace'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Mountain,"{'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
